obs_id,timestart,timeend,valor,timeupdate
16251392148,2021-05-09 06:00:00,2021-05-09 07:00:00,0,2021-05-10 14:17:42.484964
16251392147,2021-05-09 07:00:00,2021-05-09 08:00:00,0,2021-05-10 14:17:42.484964
16251392146,2021-05-09 08:00:00,2021-05-09 09:00:00,0,2021-05-10 14:17:42.484964
16251392145,2021-05-09 09:00:00,2021-05-09 10:00:00,0,2021-05-10 14:17:42.484964
16251392144,2021-05-09 10:00:00,2021-05-09 11:00:00,0,2021-05-10 14:17:42.484964
16251392143,2021-05-09 11:00:00,2021-05-09 12:00:00,0,2021-05-10 14:17:42.484964
16251392142,2021-05-09 12:00:00,2021-05-09 13:00:00,0,2021-05-10 14:17:42.484964
16251392141,2021-05-09 13:00:00,2021-05-09 14:00:00,0,2021-05-10 14:17:42.484964
16251392140,2021-05-09 14:00:00,2021-05-09 15:00:00,0,2021-05-10 14:17:42.484964
16251392139,2021-05-09 15:00:00,2021-05-09 16:00:00,0,2021-05-10 14:17:42.484964
16251392138,2021-05-09 16:00:00,2021-05-09 17:00:00,0,2021-05-10 14:17:42.484964
16251392137,2021-05-09 17:00:00,2021-05-09 18:00:00,0,2021-05-10 14:17:42.484964
16251392136,2021-05-09 18:00:00,2021-05-09 19:00:00,0,2021-05-10 14:17:42.484964
16251392135,2021-05-09 19:00:00,2021-05-09 20:00:00,0,2021-05-10 14:17:42.484964
16251392134,2021-05-09 20:00:00,2021-05-09 21:00:00,0,2021-05-10 14:17:42.484964
16251392133,2021-05-09 21:00:00,2021-05-09 22:00:00,0,2021-05-10 14:17:42.484964
16251392132,2021-05-09 22:00:00,2021-05-09 23:00:00,0,2021-05-10 14:17:42.484964
16251392131,2021-05-09 23:00:00,2021-05-10 00:00:00,0,2021-05-10 14:17:42.484964
16251392130,2021-05-10 00:00:00,2021-05-10 01:00:00,0,2021-05-10 14:17:42.484964
16251392129,2021-05-10 01:00:00,2021-05-10 02:00:00,0,2021-05-10 14:17:42.484964
16251392128,2021-05-10 02:00:00,2021-05-10 03:00:00,0,2021-05-10 14:17:42.484964
16251392127,2021-05-10 03:00:00,2021-05-10 04:00:00,0,2021-05-10 14:17:42.484964
16251392126,2021-05-10 04:00:00,2021-05-10 05:00:00,0,2021-05-10 14:17:42.484964
16251392125,2021-05-10 05:00:00,2021-05-10 06:00:00,0,2021-05-10 14:17:42.484964
16251392124,2021-05-10 06:00:00,2021-05-10 07:00:00,0,2021-05-10 14:17:42.484964
16251392123,2021-05-10 07:00:00,2021-05-10 08:00:00,0,2021-05-10 14:17:42.484964
16251392122,2021-05-10 08:00:00,2021-05-10 09:00:00,0,2021-05-10 14:17:42.484964
16251392121,2021-05-10 09:00:00,2021-05-10 10:00:00,0,2021-05-10 14:17:42.484964
16251392120,2021-05-10 10:00:00,2021-05-10 11:00:00,0,2021-05-10 14:17:42.484964
16251392119,2021-05-10 11:00:00,2021-05-10 12:00:00,0,2021-05-10 14:17:42.484964
16251392118,2021-05-10 12:00:00,2021-05-10 13:00:00,0,2021-05-10 14:17:42.484964
16251392117,2021-05-10 13:00:00,2021-05-10 14:00:00,0,2021-05-10 14:17:42.484964
16251392116,2021-05-10 14:00:00,2021-05-10 15:00:00,0,2021-05-10 14:17:42.484964
16252337938,2021-05-10 15:00:00,2021-05-10 16:00:00,0,2021-05-10 15:17:37.74297
16252821466,2021-05-10 16:00:00,2021-05-10 17:00:00,0,2021-05-10 16:19:53.644588
16253081985,2021-05-10 17:00:00,2021-05-10 18:00:00,0,2021-05-10 17:17:31.680235
16253345700,2021-05-10 18:00:00,2021-05-10 19:00:00,0,2021-05-10 18:17:17.069543
16253643077,2021-05-10 19:00:00,2021-05-10 20:00:00,0,2021-05-10 19:17:05.056048
16253918218,2021-05-10 20:00:00,2021-05-10 21:00:00,0,2021-05-10 20:17:18.112742
16254181634,2021-05-10 21:00:00,2021-05-10 22:00:00,0,2021-05-10 21:17:26.642086
16254413138,2021-05-10 22:00:00,2021-05-10 23:00:00,0,2021-05-10 22:17:04.908321
16255182462,2021-05-10 23:00:00,2021-05-11 00:00:00,0,2021-05-10 23:17:04.719064
16255774914,2021-05-11 00:00:00,2021-05-11 01:00:00,0,2021-05-11 00:17:41.057759
16256104473,2021-05-11 01:00:00,2021-05-11 02:00:00,0,2021-05-11 01:17:25.6683
